번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
40,객관식퀴즈,다음 중 바젤은행감독위원회에 대한 설명으로 옳지 않은 것은 무엇인가?,유럽 등의 중앙은행 총재들이 국제적인 신용불안을 해소하기 위해 설립한 국제금융감독기구이다.,"주요 임무로는 은행의 자기자본비율(BIS) 등 은행감독 관련 국제표준 제정, 은행 감독에 대한 국제협력 등이 있다.",본부는 스위스 바젤에 위치하였다.,"유럽의 주요국 및 미국 등의 선진국이 가입되어 있으며, 우리나라는 가입을 진행중이다.",4번,"바젤은행감독위원회(Basel Committee on Banking Supervision)는 스위스 바젤에 위치한 은행 건전성 감독 기구로, 1974년 은행 감독에 관한 국가 간 협력 증대를 위해 G10 국가 중앙은행 총재 회의의 결의로 설립되었다. 기존에는 G10 회원국 등 13개국이 참가하였으나, 2009년 3월 한국, 호주, 브라질, 중국, 인도, 멕시코, 러시아 등 7개 나라가 신규 회원국으로 추가되었다."
41,객관식퀴즈,CAMEL지수(카멜지수)에 해당하지 않는 것은 무엇인가?,자본적정성(Capital Adequacy),경영능력(Management),수익성(Earnings),장기성장성(longterm growth),4번,"카멜지수는 자본적정성(Capital Adequacy), 자산건전성(Asset Quality), 경영능력(Management), 수익성(Earnings), 유동성(Liquidity)의 앞글자를 따서 만든 지수다. 은행검사시스템으로 은행의 건전성, 경영실태를 평가하는데 사용되며, 미국의 FRB, FDIC 등 연방은행감독기관이 1978년부터 실시해왔다."
42,객관식퀴즈,"증권시장에서 매매주문시 발생하는 체결오차 현상에 의해, 원하는 가격에 현물 또는 선물을 매수할 수 없을 때 발생되는 비용은 무엇인가?",로스컷(Loss Cut),반대매매(Liquidation),슬리피지(Slippage),스프레드(Spread),3번,"슬리피지에 관한 설명이다. 로스컷은 손절매를 의미하며, 반대매매는 미수금 발생으로 인해 보유주식을 강제로 임의처분하는 것을 의미한다. 스프레드는 채권, 대출금리를 정할 때 기준금리에 덧붙이는 가산금리를 말한다."
43,객관식퀴즈,"이슬람국가들이 발행하는 채권으로, 이슬람 율법에 따라 이자는 금지하되 배당으로 수익을 배분받는 것은 무엇인가?",샤리아,수쿠크,타카풀,할랄,2번,"수쿠크에 관한 설명이다. 샤리아는 이슬람의 법 체계, 타카풀은 상호부조와 갹출로 운영되는 협동적인 이슬람 보험이다. 할랄은 무슬림이 먹고 쓸 수 있는 제품을 의미한다."
44,객관식퀴즈,"증권사가 제공하는 기업분석 보고서, 시장정보 등의 조사분석 서비스에 대하여 간접적으로 지급하는 거래수수료 형태의 비용을 무엇이라고 하는가?",소프트 달러,하드 달러,소프트 위안,하드 위안,1번,소프트 달러에 관한 설명이다. 소프트 달러는 자산운용사가 증권사에게 지급하는 위탁매매수수료의 한 형태를 말한다. 2번 하드 달러는 소프트 달러와 달리 재화나 서비스의 대가를 화폐로 직접 지급하는 금액이다.
45,객관식퀴즈,미래의 소비자들의 기대심리를 나타내는 지표인 소비자 기대지수(Consumer Expectation Index)는 현재와 얼마 이후의 소비자 동향을 비교하는 지수일까?,1개월,3개월,6개월,12개월,3번,"소비자 기대지수는 현재와 비교하여 6개월 후의 경기·생활 형편·소비지출 등에 대한 소비자들의 기대심리를 나타내는 지표이다. 주요 기대지수는 경기, 가계 생활, 소비지출, 내구소비재, 외식·오락·문화 등이며, 이는 다시 소득계층 및 연령대별로 분석해 작성하고, 지수는 100을 기준으로 한다. 조사대상은 도시지역 2,000가구를 대상으로 조사원 방문에 의한 면접조사를 실시한다."
46,객관식퀴즈,다음 중 샤프지수에 대한 설명이 옳지 않은 것은 무엇인가?,펀드가 위험자산에 투자할 때 얻을 수 있는 초과 수익률을 의미하는 지표이다.,"미국의 경제학자 윌리엄 샤프(Willia, F. Sharpe)의 이름을 따 만든 지표이다.",펀드 수익률의 표준편차를 이용한다.,샤프지수가 높은 펀드는 수익률이 낮다고 해석할 수 있다.,4번,"펀드가 한 단위의 위험자산에 투자함으로써 얻은 초과수익의 정도를 나타내는 지표다. 바꾸어 말하면 1이라는 위험을 부담하는 대신 얻은 대가, 즉 초과 수익이 얼마인가를 측정하는 지표이다. 따라서 샤프지수가 높을수록 투자 성과가 성공적이라고 할 수 있다. 샤프지수는 펀드수익률에서 무위험 채권인 국공채 수익률을 뺀 값을 펀드수익률의 표준편차로 나누어 계산한다. 즉, [(펀드수익률-국공채수익률)/펀드수익률 표준편차]라는 식으로 계산된다. 무위험초과수익률을 사용하는 이유는 위험을 부담함으로써 얻어지는 수익에서 의미있는 것은 무위험자산에 투자해서 얻는 수익을 초과하는 것뿐이기 때문이다. 샤프지수는 값이 클수록 유망한 것으로 평가된다. 통상 1 이상은 돼야 하는데, 우리나라는 펀드의 만기가 대부분 1년 이내이고 주식의 위험성이 높기 때문에 0.5를 넘기도 힘든 실정이다. 샤프지수가 높은 펀드는 위험을 감수할 때마다 그만큼 초과수익률도 높고, 펀드 성과도 좋게 나올 가능성이 크다."
47,객관식퀴즈,"미국의 농무성 산하에 설치되어 농산물 가격 지지, 농산물 구입 및 판매 등을 전담하는 기관은 무엇인가?",상품신용공사,미국농업진흥청,미국농업연구소,미국 농업기술자협회,1번,"미국은 1933년 뉴딜정책 가운데 농산물가격지지 정책에 의거하여 상품신용공사를 설립하였다. 상품신용공사는 융자, 구매, 보상 및 기타 활동을 통해 농산물의 가격을 지원하며, 농산물의 생산 및 유통에 필요한 시설과 물자를 지원하고 있다. 상품신용공사는 다른 정부기관이나 외국정부에게 농산물을 판매하거나 국내ㆍ외국ㆍ국제구호기관에게 식량원조를 하는 권한도 갖고 있다."
48,OX퀴즈,총자산순이익률(ROA)이란 자기자본에 대한 당기순이익 비율로서 주식시장에서 총자산순이익률(ROA)이 높을수록 주가도 높게 형성되는 경향 때문에 투자지표로도 사용되고 있다.,,,,,2번(X),"자기자본순이익률(ROE)에 대한 설명이다. 총자산순이익률(ROA)은 총자산에 대한 당기순이익 비율을 말한다. 은행을 예로 설명하면, 은행이 보유한 자산인 대출, 유가증권 운영 등 총자산을을 얼마나 효율적으로 운용했느냐를 알 수 있는 지표이다."
49,OX퀴즈,회사가 자본금과 주식의 수를 줄여 자본을 감소시킬 때 자본금의 감소로 발생한 환급 또는 소멸된 주식의 보상액을 주주에게 지급하는 것을 유상감자라고 한다.,,,,,1번(O),회사가 주식 수를 줄여 자본을 감소시킬 때 회사에서 자본금의 감소로 발생한 환급 또는 소멸된 주식의 대가를 주주에게 지급하는 것을 말한다.  회사규모에 비해 자본금이 지나치게 많다고 판단될 경우 자본금 규모를 적정화해 기업가치를 높이고 주가를 높이기 위해 사용된다.
50,OX퀴즈,특별한 소득원이 없는 만 60세 이상 고령자들이 보유하고 있는 주택을 담보로 제공하고 금융기관에서 매월 일정액을 연금 형식으로 받는 대출상품은 보금자리론이다.,,,,,2번(X),"역모기지론에 대한 설명이다. 전통적인 모기지론(Mortgage Loan)은 주택을 구입하기 위해 장기 대출을 받은 후 일정 기간 원리금을 상환하는 형식인 반면, 역모기지론은 이미 소유하고 있는 주택을 담보로 장기 대출을 받은 후 대출자가 사망하거나 대출이 만기된 때에 일시에 상환한다는 점에서 차이가 있다. 국내에는 대표적으로 '주택연금' 제도가 있다."
51,OX퀴즈,에스크로 계정(Escrow account)이란 일반적으로 계약에 서명하거나 위탁 상품을 납품하는 등 일정 조건에 이를 때까지 결제금액을 예치해두는 계정을 말한다.,,,,,1번(O),"에스크로(Escrow)의 어원은 프랑스어에서 유래되었는데, 원래의 뜻은 ‘서류에서 사용하기 위한 두루마리’다. 오늘날 경제 분야에서 에스크로의 의미는 ‘특정 조건을 충족한 경우에 한하여 피신탁인에게 넘겨주기 위해 신탁인이 제3자의 신탁계정에 맡기는 돈, 채권, 권리증서 혹은 재산’을 의미하며, 미국 법률용어로는 ‘특정물을 제3자에게 기탁하고 일정한 조건이 충족된 경우에 상대방에게 교부할 것을 약속하는 조건부양도증서’를 말한다."
52,OX퀴즈,헤드라인공포란 미국 시장에서 갑작스럽게 나타나는 주가의 급격한 상승 현상을 지칭한 말이다.,,,,,2번(X),헤드라인 공포는 급상승이 아닌 급락 현상을 지칭하는 말이다. 월스트리트에서는 '미국 신용등급 하락의 영향으로 실체없는 악재들이 시장을 흔들고 있다'는 뜻으로 쓰인다.
53,OX퀴즈,"한국선물거래소는 선물거래법에 의해 설립된 특별법인으로, 선물 및 옵션 상품을 거래하는 기관이다.",,,,,1번(O),한국선물거래소에 관한 옳은 설명이다. 1999년 4월에 미국달러선물ㆍ양도성예금증서(CD)금리선물ㆍ금선물ㆍ미국달러옵션 4개의 상품시장으로 개장하였다.
54,OX퀴즈,"펀드수익률에서 무위험채권 이자율(CD금리)를 뺀 값을 펀드수익률의 표준편차로 나누어 계산하는 것으로, 펀드가 한 단위의 위험자산에 투자함으로써 얻을 수 있는 초과수익률을 샤프지수라고 한다.",,,,,1번(O),펀드가 한 단위의 위험자산에 투자함으로써 얻을 수 있는 초과수익률을 말한다. 펀드수익률에서 무위험채권 이자율(CD금리)를 뺀 값을 펀드수익률의 표준편차로 나누어 계산한다. 이 지수는 1990년 노벨경제학상을 수상한 미국의 경제학자 윌리엄 샤프가 1950~60년대까지의 펀드 실적을 분석한 결과를 바탕으로 개발한 것이다. 샤프지수가 높은 펀드는 투자위험(표준편차)을 감수하면서도 그만큼 높은 초과수익률이 발생하기 때문에 펀드 성과 또한 높게 나타날 가능성이 커진다.
55,OX퀴즈,"통정거래란 매수할 사람과 매도할 사람이 사전에 가격을 미리 정해놓고 일정시간에 주식을 서로 매매하는 것을 말하는데, 증권거래법상 용인된 행동이다.",,,,,2번(X),"통정거래는 마치 거래가 활발하게 일어나는 것처럼 보이게 하여 선의의 투자자들의 판단을 흐려 시장을 혼란시키고, 부당이익을 취하기 때문에 증권거래법상으로 이를 금지하고 있다."
56,OX퀴즈,"선택할 수 있는 권리를 뜻하는 ‘옵션’이 파생금융시장에서 사용될 경우, 살 수 있는 권리를 풋옵션이라고 한다.",,,,,2번(X),"살 수 있는 권리를 콜옵션, 팔 수 있는 권리를 풋옵션이라고 한다. 매입자가 매도자로부터 만기일 또는 그 이전에 미리 정한 권리행사가격으로 대상자산을 매입할 수 있는 권리이다."
57,OX퀴즈,매수자 또는 매도자 입장에서 가장 유리한 가격으로 지정해 매매가 체결될 수 있도록 해주는 호가는 최우선지정가호가를 말한다.,,,,,2번(X),최유리지정가호가에 대한 설명이다. 거래시 최유리지정가호가로 설정하는 경우 종목 및 수량은 지정하지만 가격은 시장에 도달했을 때 가장 유리한 가격으로 지정한 것으로 간주해 매매거래한다.
58,OX퀴즈,예외적이긴 하지만 실현 가능성이 있는 사건에 대하여 금융시스템의 잠재적 취약성을 측정함으로써 금융시스템의 안정성을 평가하는 것을 스트레스 테스트(Stress Test)라고 한다.,,,,,1번(O),"스트레스 테스트란 본래 의학 분야에서 심장기능을 검사할 때나 IT 분야에서 시스템 등에 충격을 가했을 때 안정되게 작동하는지 검사하는 것을 의미했으나, 금융위기를 맞이한 미국 정부가 자산규모 1000억달러 이상 대형 은행에 대해 자본평가 프로그램(CAP Capital Assessment Program)을 실시할 계획이라고 알려지면서 금융권에서도 많이 사용되고 있다."
59,OX퀴즈,FX 마진거래(Foreign Exchange Margin Trading)는 국제외환시장(Foreign exchange market)에서 개인이 직접 외국의 통화(외환)를 거래하는 현물시장을 뜻한다.,,,,,1번(O),"FX 마진거래에 관한 옳은 설명이다. 일반적인 환전은 자국화폐와 외국화폐를 교환하는 것이지만, FX마진거래는 ‘기준통화/상대통화’가 한 쌍으로 묶여서 거래되며, 환차익을 통한 수익을 발생시키는 금융거래이다. 개인 투자자가 0.25~2%까지의 필요 증거금만 선물중개회사에 맡기면 보유금액의 최대 50~400배까지 거래가 가능하기 때문에 적은 투자금액으로 높은 수익을 올릴 수 있지만 큰 손실을 볼수도 있는 위험한 외환투기거래이다."
60,OX퀴즈,산탄데르 은행(Banco Santander)은 고리대금업자의 횡포에 시달리던 빈민들에게 무담보 대출을 제공하는 방식으로 문제를 해결하기 위해 설립되었다.,,,,,2번(X),"산탄데르 은행은 1857년 설립된 스페인의 대표적인 은행으로, 소매금융을 주력 사업으로 하며, 유럽 외 브라질 및 중남미 지역에서 강세를 보이고 있다. 탁월한 리스크 관리와 소비자 금융을 강점으로 세계 금융위기를 이겨내며 세계에서 가장 주목받는 은행 가운데 하나로 성장했다. 해당 설명은 그라민 은행의 설립 취지이다."
61,OX퀴즈,부동산 권리 행사에 문제가 발생해 부동산 소유자나 저당권자가 입는 손실을 보상해주는 보험을 '권원보험'이라고 한다.,,,,,1번(O),"권원보험은 부동산 매수인이 자신이 소유한 부동산 또는 구매하려는 부동산의 권리에 하자가 생겨 확보한 권리를 소유하지 못하는 경우, 임차권과 매매계약서상의 권리를 비롯한 가능한 모든 종류의 권리를 보호받기 위해 가입한다."
62,OX퀴즈,"SEPA는 포괄적 경제동반자 협정의 약자로, 시장 개방보다는 경제협력을 위한 국가간 협정이다.",,,,,2번(X),"SEPA란 Single Euro Payment Area의 약자로, 유럽 내에 있는 개인이나 기업이 계좌 하나로 자유롭게 계좌이체할 수 있는 EU 내 결제시스템의 단일체제를 말한다. 문제 설명은 포괄적 경제동반자 협정 CEPA(Comprehensive Economic Partnership Agreement)이다."
63,OX퀴즈,파생결합증권(DLS)은 주식 등의 자산을 미리 정한 만기에 정해진 가격에 사거나 팔 수 있는 권리를 나타내는 증권이다.,,,,,2번(X),파생결합증권(DLS : Derivative Linked Securities)는 유가증권과 파생금융계약이 결합된 증권으로 기초자산의 가치변동과 연계한 증권이다. 해당문제는 ELW(Equity Linked Warrant)의 설명이다.
64,OX퀴즈,"COFIX(Cost of Fund Index)는 자금조달비용지수라고도 하며, 은행연합회가 시중은행 및 특수은행으로부터 자금조달에 관련된 정보를 제공받아 산출한다.",,,,,1번(O),"COFIX(Cost of Fund Index)는 은행의 자금조달비용을 반영한 새로운 대출 기준금리를 말한다. 은행권에서는 주택담보대출시 CD 금리를 기준금리로 사용하고, 여기에다 각 은행이 관리비용, 신용도, 기간 프리미엄 및 거래실적 등을 고려해 결정한 가산금리를 더해 주택담보대출 금리를 산정해왔다. 그러나 은행의 사업자금 조달 중 CD를 통한 조달은 약 11%로 그 비중이 작고, 금융위기 이후 CD금리가 지나치게 낮게 형성돼 시장 실세금리와 차이가 크게 나는 등 은행의 자금조달비용을 제대로 반영하지 못한다는 것이 가장 큰 문제였다. 각 은행이 결정하는 주택담보대출의 기준금리가 되며, 이 금리에다 각 대출자의 신용도를 반영한 위험프리미엄을 더하여 개별 주택담보대출의 금리를 결정한다. 지수는 매달 한 번씩 산출되는데 시중은행의 정기예금과 정기적금, 상호부금, 주택부금, 양도성예금증서, 환매조건부채권매도, 표지어음매출, 금융채 금리를 가중 평균해 산출한다. 금융채 중에서 후순위채나 전환사채 금리는 제외된다.  COFIX는 정보제공은행의 다양한 자금조달상품에 적용되는 금리를 가중평균하기 때문에, CD금리 등 기타 시장금리에 비해 은행의 자금조달비용을 보다 충실히 반영할 수 있다."
65,OX퀴즈,CD(Certificate of Deposit) 금리란 시장에서 양도가 가능한 정기예금증서가 발행되어 유통시장의 거래에서 적용되는 금리를 말한다.,,,,,1번(O),"CD(Certificate of Deposit)란 시장에서 양도가 가능한 정기예금증서를 말한다. 우리나라 은행들의 경우, 변동금리형 주택담보대출에 적용하는 금리를 ‘CD 금리+R’의 형태로 정하고 있는 경우가 많다. 따라서 CD 금리의 변화는 변동금리형 주택담보대출에 영향을 미친다. 만일 CD 금리가 상승할 경우, 주택담보대출금리도 동반 상승하여 변동금리로 은행에서 돈을 빌린 사람들의 이자 부담이 높아진다."
66,OX퀴즈,국제결제은행(BIS)은 1930년 1월 헤이그협정에 의거 설립된 중앙은행간 협력기구로 현존하는 국제금융기구 중 가장 오래된 기구이다.,,,,,1번(O),"국제결제은행(Bank for International Settlements)은 각국 중앙은행의 협력을 돕는 국제기구이다. 제1차 세계대전 종전 후 유럽경제 복구 및 독일의 전쟁배상금 지급 문제가 국제경제의 주요 현안과제로 대두되었다. 이 문제의 당사국인 벨기에·프랑스·독일·이탈리아·일본·영국 등 6개국은 거듭된 회의 끝에 1930년 1월 20일 네덜란드의 헤이그에서 독일의 전쟁배상금 문제 해결을 위한 헤이그협정을 체결하고, 배상금 결제 전담기구로서 국제결제은행(BIS)의 설립을 결정하였다. BIS는 스위스 바젤에 본부를 두고 있다. 현재는 주로 중앙은행간 협력체로서의 기능 수행에 중점을 두고 있으며 국제통화 협력을 위한 양대기구로서 IMF와 긴밀한 협력관계를 유지하고 있다."
67,OX퀴즈,"AMA(Auto Management Account)는 은행에서 증권사 CMA(Cash Management Account)에 대응하여 출시한 것으로, 고객이 설정한 조건에 따라 상대적으로 고금리를 주는 예금이나 증권사로 자동이체·관리해주는 금융상품의 한 종류이다.",,,,,1번(O),고객이 설정한 조건에 따라 상대적으로 고금리를 주는 예금이나 증권사로 자동이체·관리해주는 금융상품의 한 종류다. 또한 반대로 기본계좌에서의 지급요청 발생 시 설정된 금액만큼 기본계좌로 다시 자동이체도 된다. 편리성과 고금리의 수익성을 갖춘 상품이라 할 수 있다. 금융사는 금융상품 거래 때의 판매수수료가 수익으로 연결이 되나 증권사 CMA의 인기로 은행 입장에서는 금융상품 판매 수수료를 챙길 수단 자체가 부족해졌다. 이에 대응하기 위해 은행에서 AMA라는 상품이 출시됐다.
68,OX퀴즈,주식워런트증권 중 기초자산을 미리 정한 가격으로 만기 시점에 팔 수 있는 권리는 콜ELW이다.,,,,,2번(X),"주식워런트증권은 줄여서 ELW(Equity -Linked Warrant)라고 하며, 풋ELW와 콜ELW로 나뉜다. 풋ELW는 기초자산을 미리 정한 가격으로 만기 시점에 팔 수 있는 권리로 투자자는 대상 주식의 가격이 내릴 경우 수익을 거둔다. 만기일에 풋ELW의 가치가 없어지면 권리를 포기하면 되기 때문에 최초 지불한 ELW 금액만큼의 손실을 책임져야 한다."
69,객관식퀴즈,1970년대 초부터 북한의 유일한 국제금융거래 창구 역할을 해 온 은행으로 미국은 2005년 9월 이 은행을 북한의 돈세탁 창구로 지목하여 북한 자금을 동결하였다. 이 은행의 명칭은 무엇인가?,뱅크오브차이나,중국공상은행,방코델타아시아,홍콩상하이은행,3번,"방코델타아시아는 마카오 소재 은행으로 1970년대 초부터 북한의 유일한 국제금융거래 창구 역할을 해왔다. 미국은 북한을 테러지원국으로 지정하고, 경제적 제재 조치의 하나로 2005년 9월 이 은행을 북한의 돈세탁 창구로 지목하고 북한 자금을 동결했다."
70,객관식퀴즈,무역관련 지식재산권 협정에 관한 설명으로 옳은 것은 무엇인가?,GATT를 중심으로 지적재산권 협정이 진행되었다.,협약체약국은 자국의 법체계에 따라 지적재산권보호제도를 도입하는 것이 불가능하다.,기존의 국제협약 규정보다 약화된 수준으로 체결되었다.,기존의 지적재산권 관련 협정과 달리 WTO 분쟁해결기구에 제소할 수 있다.,4번,"국제적인 지적재산권 보호·강화문제가 대두됨에 따라 1986년부터 시작된 우루과이라운드(UR) 다자간협상에서 지적재산권이 의제로 채택되었다. 1995년 발효된 WTO 협정의 부속협정으로 무역관련 지적재산권에 관한 협정이 포함되었다. WTO는 이 협정을 통해 지적재산권 보호에 대한 국제적인 기준을 마련하였고 지적재산권을 침해하는 물품의 국제거래를 엄격히 금지하고 있다. 협정체약국은 지적재산권에 대한 최소 보호수준을 유지할 의무가 있으나, 자국내 법체계와 관행에 따라 지적재산권 보호제도를 도입하는 것이 가능하다. 무역관련 지식재산권에 관한 협정은 실제 무역관련 범위를 넘어 지적재산권 보호에 대한 모든 범위를 포괄하고 있으며, 기존의 국제협약보다 강화된 수준에서 지적재산권의 구체적 보호대상과 보호기간을 명시하고 있다. 기존의 지적재산권 관련 협정과 달리 이 협정은 그 위반에 대하여 WTO 분쟁해결기구에 제소할 수 있도록 하고 있다."
71,객관식퀴즈,무기명채권에 관한 설명으로 옳지 않은 것은 무엇인가?,일반적인 채권과 달리 만기 변제이든 만기 전이든 채권 양도 절차를 거치지 않는다.,채권자가 표시된 채권이다.,만기 전 채권을 현금화할 경우 상대적으로 할인하여 매각하기가 쉽다.,중간 거래 과정을 추적하기가 쉽지 않아 불법적인 목적으로 사용되기도 한다.,2번,무기명채권은 채권자가 표시되지 않는 채권이다. 일반적인 채권과 달리 무기명채권은 만기 변제이든 만기 전이든 채권을 양도할 경우 채권자의 채권 양도 절차를 거치지 않기 때문에 편리할 뿐만 아니라 특히 만기 전 채권을 현금화 할 경우 상대적으로 할인하여 매각하기가 훨씬 용이하다. 채권자가 채권에 명시되어 있지 않고 단지 적법한 절차에 의하여 소지하고 있을 경우 채무자가 그 사람을 채권자로 인정하고 돈을 내주어야 한다. 이와 함께 중간 거래 과정의 추적이 쉽지 않아 불법적인 목적으로 사용되기도 한다.
72,객관식퀴즈,"'시간 끌기'라는 의미를 가졌으며, 유럽의 재정문제로 금융위기 당사자인 유로존이 늑장대응하는 형태를 가리키는 용어는 무엇인가?",머들링 스루,슬로어답터,넛 크래커,어닝쇼크,1번,"머들링 스루(Muddling Through)는 사전적 의미로는 발목을 잡는 진흙탕 속을 통과한다는 의미로, '뒤죽박죽인 채 그럭저럭 힘겹게 나가기' 또는 '시간 끌기' 정도로 해석할 수 있다. 경제학에서는 유럽의 재정문제로 촉발된 금융위기에 당사자인 유로존이 늑장 대응하는 행태를 일컫는다."
73,객관식퀴즈,래퍼 곡선(Laffer Curve)에 대한 설명으로 옳지 않은 것은 무엇인가?,세율이 일정수준을 넘으면 세수가 오히려 줄어드는 관계를 보여준다.,세율을 낮춤으로써 오히려 세수를 증가시킬 수 있다,기업과세는 높을 수록 효율적이다.,미국 레이건 행정부의 조세인하 정책의 이론적 근거가 되었다.,3번,"보통 세율이 높아질수록 세수가 늘어나지만, 세율이 일정수준을 넘으면 세수가 오히려 줄어드는 관계를 보여주는 곡선이 래퍼 곡선이다. 이는 세율이 지나치게 높아지면 근로의욕이 감소하는 등 세원 자체가 줄어들게 되므로, 이때는 세율을 낮춤으로써 오히려 세수를 증가시킬 수 있다는 것이다. 혹은 지나치게 높은 기업과세는 기업이윤을 감소시키기 때문에 기업의 투자활동을 정체시킨다는 것이다. 래퍼 곡선은 미국의 경제학자 아더 B. 래퍼교수가 주장한 것으로, 1980년대 미국 레이건 행정부의 조세인하 정책의 이론적 근거가 되었다."
74,객관식퀴즈,균형가격에 대한 설명으로 옳지 않은 것은 무엇인가?,수요가 공급을 초과하는 경우는 가격이 상승한다.,수요량과 공급량을 일치시키는 가격을 말한다.,소비자와 판매자 모두 만족스러운 상태이다.,전제하는 시간의 장단에 변함없이 균형가격은 일치한다.,4번,"균형가격은 수요량과 공급량을 일치시키는 가격을 말한다. 이 가격에서 소비자들은 원하는 만큼 재화를 살 수 있고 판매자들은 원하는 만큼 재화를 팔 수 있으므로 소비자와 판매자 모두 만족스러운 상태다. 이러한 균형가격은 주어진 수요와 공급의 상황에서 일단 성립되기만 하면 다른 사정의 변화가 없는 한 지속되지만, 현실에서 시장가격은 시간에 따라 계속 변동하는 경향이 있다. 수요가 공급을 초과하는 경우는 가격이 상승하고, 반대로 공급이 수요를 초과할 때는 가격이 내려감으로써 수급이 조절된다."
75,객관식퀴즈,다음 중 개발도상국의 투자 촉진을 도모하기 위해 설립된 국제기구가 아닌 것은 무엇인가?,국제투자보증기구(MIGA),국제부흥개발은행(IBRD),국제금융공사(IFC),국제통화기금(IMF),4번,"국제투자보증기구(MIGA)는 개발도상국에 대한 민간투자를 보장하고 투자 촉진을 도모하기 위한 국제기구를 말한다. 국제부흥개발은행(IBRD), 국제개발협회(IDA), 국제금융공사(IFC) 등과 함께 세계은행(전 세계의 빈곤 퇴치와 개발도상국의 경제 발전을 목표로 설립된 다자개발은행) 그룹으로 불린다. IMF는 세계무역의 안정된 확대를 통해 가맹국의 고용 증대, 소득 증가, 생산자원 개발에 기여하기 위해 설립된 기구이다."
76,객관식퀴즈,해외의 생산요소를 자국으로 유인하기 위해 경쟁적으로 각종 세제 혜택을 제공하는 것을 무엇이라 하는가?,국제조세경쟁,국제세제혜택,국제조세피난,조세동조화,1번,국제조세경쟁은 해외의 생산요소를 자국으로 유인하기 위해 경쟁적으로 각종 세제 혜택을 제공하는 것이다.
77,객관식퀴즈,"조세부담률과 의료보험, 연금의 보험료 등을 국민소득으로 나눈 사회보장부담률을 합한 것을 무엇이라 하는가?",복지부담률,국민부담률,세금부담률,연금부담률,2번,"국민부담률은 세금에 사회보장기여금(건강보험, 고용보험, 산재보험, 국민연금, 공무원연금 등)을 합한 수치가 GDP에서 차지하는 비중이다. 조세부담률과 의료보험, 연금의 보험료 등을 국민소득으로 나눈 사회보장부담률을 합한 것이기도 하다."
78,객관식퀴즈,국가신용등급에 대한 설명으로 옳지 않은 것은 무엇인가?,국가의 채무상환능력을 평가한 지표이다.,"대외 부문의 건전성과 거시경제 여건, 재정 건전성 등을 종합적으로 고려하여 평가한다.",해당 국가의 기업 및 민간 기관의 신용 등급까지 판정하는 기준이 된다.,민간의 해외 차입비용을 감소해주지는 못한다.,4번,"국가의 채무상환능력을 평가한 지표. 국가의 신용 등급은 외환보유액, 외채구조(장단기) 등 대외 부문의 건전성과 거시경제 여건, 재정 건전성, 금융 및 기업 부문의 경쟁력, 노동시장 유연성, 안보 위험 등을 종합적으로 고려하여 평가가 이루어진다. 한편, 국가 신용 등급은 해당 국가의 기업 및 금융 기관 등 민간 기관의 신용 등급을 판정하는 기준이 된다. 그렇기 때문에 국가 신용 등급의 향상은 국가의 신인도 제고는 물론 민간의 해외 차입비용의 감소를 가져온다."
79,객관식퀴즈,실질환율이 오르더라도 초기엔 무역수지가 오히려 악화되지만 시간이 지난 후 개선되는 현상을 무엇이라고 하는가?,J커브 효과,U커브 효과,L커브 효과,C커브 효과,1번,J커브 효과에 대한 설명이다. 무역수지의 변화를 차트로 그리면 J자 모양과 유사하기 때문에 J커브효과라 부른다. 이 용어는 과거 영국의 파운드가 절하될 때 무역수지가 변동되는 모습에서 유래됐다.
80,객관식퀴즈,"생산자가 한 생산요소의 투입량을 한 단위 감소시켰을 때, 동일한 생산수준을 유지하기 위해 증가시켜야 하는 다른 생산요소의 양을 말하는 이것은 무엇인가?",가변비용,한계기술대체율,교차보조,기회비용,2번,"한계기술대체율은 생산자가 한 생산요소의 투입량을 한 단위 감소시켰을 때, 동일한 생산수준을 유지하기 위해 증가시켜야 하는 다른 생산요소의 양을 말한다."
81,객관식퀴즈,"임금과 물가가 내려가면 사람들이 가지고 있는 화폐 자산의 실질가치는 올라가고, 그 자산가치의 증가가 소비를 늘려서 궁극적으로 고용을 증대시킨다는 이론으로 알맞은 것은 무엇인가?",피셔효과,피구효과,승수효과,톱니효과,2번,"임금과 물가가 내려가면 사람들이 가지고 있는 화폐 자산의 실질가치는 올라가고, 그 자산가치의 증가가 소비를 늘려서 궁극적으로 고용을 증대시킨다는 이론. 주창자인 아서 피구(Arthur C Pigou, 1877~1959)의 이름에서 유래하였다."
82,객관식퀴즈,중앙은행이 향후 경제상황에 대한 평가를 토대로 미래의 통화정책 방향을 예고하는 새로운 통화정책 커뮤니케이션 수단으로 올바른 것은 무엇인가?,투자활동지표,오퍼레이션 트위스트,연방준비제도,포워드 가이던스,4번,포워드 가이던스는 2008년 글로벌 금융위기 이후 미국 등 선진국 중앙은행이 도입했다. 포워드 가이던스는 중앙은행이 시장과 소통해 불확실성을 해소함으로써 시장을 안정화시키는 장점을 갖고 있다.
